sent0,sent1,hard_neg,source
Source: Sunset and rivers; Edit instruction: make the river into a forest,Sunset and forest,Sunset and rivers,webvid_covr_multimodal
"TV ads are dumb, both in the sense that they tend to be crudely demagogic appeals, and because they can't target segments of the electorate with any degree of accuracy.",TV ads are not very accurate.,TV ads are brutally accurate at targeting.,nli_base
Source: Netherlands hand drawn tourism; Edit instruction: change to Columbia,Colombia hand drawn tourism,Netherlands hand drawn tourism,webvid_covr_multimodal
yeah yeah i think that we're too easy uh and we take the the uh civil liberties uh stuff too far,Civil liberties may be too important to us.,We really don't think too much about civil liberties.,nli_negation
Source: Circles gather in symbol dog. after it crumbles in a line and moves to the camera. alpha channel black; Edit instruction: Make it a DONATE,Circles gather in symbol donate. after it crumbles in a line and moves to the camera. alpha channel black,Circles gather in symbol dog. after it crumbles in a line and moves to the camera. alpha channel black,webvid_covr_multimodal
A woman in a blue dress laying in the street during a festival or protest.,A human in a dress,Nobody has a dress.,nli_negation
Source: Landscape over the sea; Edit instruction: Turn it into a rainbow,Rainbow over the sea,Landscape over the sea,webvid_covr_multimodal
A buy with a pale on a beach.,A boy on the beach.,The boy is swinging at the park.,nli_base
The doctor held open the door of a room and they passed in.,The door was held open by the doctor.,The door was shut abruptly by the doctor before they could pass in.,nli_base
Source: Beach resort; Edit instruction: Remove the resort and make it a beach sea,Beach sea,Beach resort,webvid_covr_multimodal
Source: Seascape on a stormy day; Edit instruction: turn it into an ocean on a stormy day,Ocean on a stormy day,Seascape on a stormy day,webvid_covr_multimodal
"Storr makes large claims for these paintings, seeing them as the first successful attempt to systematize the 'allover' painting invented by Pollock and Rothko.",They make big claims about the paintings.,They did not even mention the paintings.,nli_negation
Source: Tired businessman with neck pain; Edit instruction: Turn the man's head to the left,Tired man with neck pain,Tired businessman with neck pain,webvid_covr_multimodal
Source: Street sign the way to marketing; Edit instruction: add a “the way to prevention” to the street sign,Street sign the way to prevention,Street sign the way to marketing,webvid_covr_multimodal
Some professional baseball players are warming up.,Several ball players warm up to play baseball.,One baseball player sits on the bench waiting for the sun to come up.,nli_base
"Source: Behind the squares appears the symbol hippo. in - out. alpha channel premultiplied - matted with color rgb (8,132,164); Edit instruction: put a poll","Behind the squares appears the symbol poll. in - out. alpha channel premultiplied - matted with color rgb (8,132,164)","Behind the squares appears the symbol hippo. in - out. alpha channel premultiplied - matted with color rgb (8,132,164)",webvid_covr_multimodal
Source: Cat looking around; Edit instruction: make it a cob,Cobra looking around,Cat looking around,webvid_covr_multimodal
A young man in glasses sings and plays guitar.,the man is singing,the cats are eating,nli_base
Source: Christmas woman; Edit instruction: with a fireplace,Christmas fireplace,Christmas woman,webvid_covr_multimodal
A man sawing wood on a fence.,A man it outside sawing wood.,The man set the fence on fire,nli_base
A man playing ball at sunset.,A man is playing ball.,A man is swimming in the pool.,nli_base
Man spiking volleyball over net with other player in front of him.,A man playing volleyball,A woman playing golf,nli_base
Source: Kids drawing black screen with theme of honey; Edit instruction: use a stork instead of a bee,Kids drawing black screen with theme of stork,Kids drawing black screen with theme of honey,webvid_covr_multimodal
Source: Blue berries; Edit instruction: turn a ring into berries,Blue ring,Blue berries,webvid_covr_multimodal
What can we do?,What are our options?,Can we stop doing things?,nli_base
A yellow Labrador running with its ears flopping.,A labrador is running.,The labrador is black.,nli_base
"A group of people sitting on railings at a car presentation with the catwalk being red and a red car lighting fixtures, a video screen with a brand on it on a wall in the background.",The people are staring at a car.,A clown is driving a car into a McDonald's restaurant.,nli_base
Source: Background lights; Edit instruction: the scene should be a video instead of a real photo,Background footage,Background lights,webvid_covr_multimodal
"Source: Cheerful mid adult woman, studio shot; Edit instruction: Have the woman be upset","Upset mid adult woman, studio shot","Cheerful mid adult woman, studio shot",webvid_covr_multimodal
A man wearing a black suit is playing a brown guitar.,A man playing guitar while wearing a suit.,A man in his swimwear playing an instrument.,nli_base
Source: Businessman with mobile phone opens hologram hud interface and touches word - teachers; Edit instruction: make it about buying instead of teachers,Businessman with mobile phone opens hologram hud interface and touches word - buying,Businessman with mobile phone opens hologram hud interface and touches word - teachers,webvid_covr_multimodal
Source: Canal boat; Edit instruction: Have the boat tip over,Capsized boat,Canal boat,webvid_covr_multimodal
Source: The symbol flask is assembled from small balls. then it shimmers with blue. it crumbles and disappears. in - out loop. alpha channel; Edit instruction: Make a suitcase,The symbol suitcase is assembled from small balls. then it shimmers with blue. it crumbles and disappears. in - out loop. alpha channel,The symbol flask is assembled from small balls. then it shimmers with blue. it crumbles and disappears. in - out loop. alpha channel,webvid_covr_multimodal
A man picks up a piece of cloth from the square pipe,A man is picking up the piece of cardboard from the cutting sheet,A man puts down a piece of cloth from the square pipe,ego4d_temporal
A girl on ice skates is walking her dog on a leash across the ice.,A girl is walking her dog.,The girl is sitting down relaxing.,nli_base
A man in a blue shirt is throwing a dart while a soccer game is being aired on a large screen behind him.,The man is trying to get a bull's eye.,His shirt is orange.,nli_base
A woman and a person in a dog costume are playing blackjack with an elderly dealer.,A group of people playing a card game,Naked people playing cards,nli_base
Source: Pregnant woman doing yoga; Edit instruction: Change the ethnicity,Asian woman doing yoga,Pregnant woman doing yoga,webvid_covr_multimodal
Source: Close up shot of man in glasses surfing internet at night; Edit instruction: make it a girl,Close up shot of girl in glasses surfing internet at night,Close up shot of man in glasses surfing internet at night,webvid_covr_multimodal
Source: Top view of waves; Edit instruction: make the sea,Top view of sea,Top view of waves,webvid_covr_multimodal
Source: Young female executive using mobile phone in the office; Edit instruction: makes a happy face,Smiling female executive using mobile phone in the office,Young female executive using mobile phone in the office,webvid_covr_multimodal
Source: Single tree; Edit instruction: make it a Jacaranda tree,Jacaranda tree,Single tree,webvid_covr_multimodal
Source: Raining in the park; Edit instruction: Change the park to a jungle,Raining in the jungle,Raining in the park,webvid_covr_multimodal
Source: Kids drawing white screen with theme of toaster; Edit instruction: change the theme to be a cook,Kids drawing white screen with theme of cook,Kids drawing white screen with theme of toaster,webvid_covr_multimodal
A native american stands at a microphone ready to play his instrument.,A native american is about the play his instrument.,The native american is watching someone perform.,nli_base
Janet Jackson's album is said to secure her place in the top tier of pop divas.,Janet Jackson is a pop diva.,Janet Jackson is not a pop diva.,nli_negation
Source: tree leaves; Edit instruction: turn into a painting of tree leaves,Tree nature,tree leaves,webvid_covr_multimodal
"The Museum boasts a major collection of Greek and Roman antiquities, European paintings (by Rembrandt, Monet, Renoir, and Van Gogh, among others), drawings (including a few by Michelangelo, Leonardo da Vinci, and Raphael), illuminated medieval manuscripts, photographs, sculpture, and French decorative arts displayed within five two-story pavilions.","The museum hosts many magnificent works of art, including works from Van Gogh, Michelangelo, and Leonardo da Vinci.",The museum hosts large collection of novelty coffee mugs.,nli_base
Two children in hats and pale orange shirts stand on a field.,People are on a field.,Children are playing video games on the couch.,nli_base
Source: Water bottle; Edit instruction: Make a water supply,Water supply,Water bottle,webvid_covr_multimodal
yeah i think they probably did he probably i was reading the other day that what may have happened to him is he pitched too many innings too young,I read the other day that he pitched too many innings at a young age.,He didn't pitch all that much at an early age.,nli_negation
Source: Light burst; Edit instruction: Make it flash,Light flash,Light burst,webvid_covr_multimodal
Source: Mountain river in the forest; Edit instruction: make it a snowy,Mountain river in snow forest,Mountain river in the forest,webvid_covr_multimodal
Man and woman standing close together while another man watches.,A man and a woman stand together while a man stares at them with envy.,Three friends pose for a picture.,nli_base
Source: Big tree in tropical forest; Edit instruction: turn it into a deep forest,Big tree in deep forest,Big tree in tropical forest,webvid_covr_multimodal
A girl picks up the piece of wood from the floor,A girl picks up the piece,A girl puts down the piece of wood from the floor,ego4d_temporal
A guy wearing a white shirt is playing a white guitar.,A person plays the guitar.,The woman bangs the drums.,nli_base
Source: Boat tour; Edit instruction: Make it into a porthole,Boat porthole,Boat tour,webvid_covr_multimodal
Employee in pink shirt smiles for camera inside a restaurant kitchen.,A person in a pink shirt smiles indoors.,An employee is waiting on tables and smiles for the camera.,nli_base
A priest speaks from an ornate pulpit with stained glass pictures in the background.,The person is speaking.,The priest is giving communion.,nli_base
A man picks up a piece of rug,A man is picking up another piece of cloth and another bed sheet,A man puts down a piece of rug,ego4d_temporal
Source: Road in the forest; Edit instruction: make it sun,Sunlight in the forest,Road in the forest,webvid_covr_multimodal
Source: Symbol copy. blue electric glow storm. looped video. alpha channel black; Edit instruction: make it a cog,Symbol cog. blue electric glow storm. looped video. alpha channel black,Symbol copy. blue electric glow storm. looped video. alpha channel black,webvid_covr_multimodal
Source: Young couple smiling; Edit instruction: A person,Young couple climbing,Young couple smiling,webvid_covr_multimodal
Source: Clear particles; Edit instruction: make the particles fly out,Flying particles,Clear particles,webvid_covr_multimodal
Source: Waveform alphabet loop - someone; Edit instruction: spread the letters out over the entire waveform,Waveform alphabet loop - s,Waveform alphabet loop - someone,webvid_covr_multimodal
Two men stand in front of a large green truck.,Two men are near a truck.,Two men are running down the street.,nli_base
Source: Leaf shadow on the wall; Edit instruction: make the leaf shadow on the wall,Leaves shadow on the wall,Leaf shadow on the wall,webvid_covr_multimodal
Source: Boar drinking water; Edit instruction: turn into a monkey,Monkey drinking water,Boar drinking water,webvid_covr_multimodal
Source: Stones on the beach; Edit instruction: make it a pigeon,Pigeons on the beach,Stones on the beach,webvid_covr_multimodal
The brill trader told them of the amazing site as they continued their ride.,It was the brill trader who told them about the awesome site.,The brill trader was talking about the disgusting site.,nli_base
Source: Eco garden; Edit instruction: water it with a hose,Watering garden,Eco garden,webvid_covr_multimodal
The implied VSL for younger populations is less than that for older populations because the value per life year is higher for older populations.,The VSL for younger people is less than that for older people.,VSL is lower for older people than younger ones.,nli_base
Source: Definition: emphasis; Edit instruction: make the emphasis a method,Definition: method,Definition: emphasis,webvid_covr_multimodal
A worker opens a book,A worker opens a book pages,A worker closes a book,ego4d_temporal
Source: Tomatoes in the garden; Edit instruction: Roses in the garden,Roses in the garden,Tomatoes in the garden,webvid_covr_multimodal
A woman lying under an umbrella outside while two young boys run around her.,A women lying in the shade with infants around her.,A group of guys lying under a big tent outside.,nli_base
Source: Blue lake in a pine forest; Edit instruction: turn the lake blue,Forest lake in a pine forest,Blue lake in a pine forest,webvid_covr_multimodal
"Every night for two weeks, temple priests brandish long poles each with a flaming cedar ball at the end.",Long poles with flaming balls at the end are brandished by the priests.,The priests brandish the poles for one week.,nli_base
they're going to run you down,Something is going to run you down!,I am fairly certain that you will be completely not ran down.,nli_negation
Source: Writing or sketching a word winner; Edit instruction: change it to advice,Writing or sketching a word advice,Writing or sketching a word winner,webvid_covr_multimodal
A woman building a horse's head in the sand.,A woman is creating something.,"A woman is riding a horse,",nli_base
"Opponents of gay rights called the decision a deeply disturbing blow to the institution of marriage, but they promised to limit its effects to Vermont.",The decision was found to be deeply disturbing.,The opponents of gay rights called the decision very favourable and very considerate.,nli_base
"Source: Text once appears from the sand, then crumbles. alpha channel premultiplied - matted with color black; Edit instruction: Make it attack the sand","Text attack appears from the sand, then crumbles. alpha channel premultiplied - matted with color black","Text once appears from the sand, then crumbles. alpha channel premultiplied - matted with color black",webvid_covr_multimodal
Source: Fire wood; Edit instruction: turn it into a lathe,Lathe wood,Fire wood,webvid_covr_multimodal
and they just enjoyed the income the extra,They just enjoyed the extra income,They needed an extra income,nli_base
Source: Kids drawing green screen with theme of cigarette; Edit instruction: make it a for,Kids drawing green screen with theme of foreman,Kids drawing green screen with theme of cigarette,webvid_covr_multimodal
Two children relaxing by the pool.,Two kids by the pool.,Two people hiking.,nli_base
Source: Ant red; Edit instruction: make it smoke,Smoke red,Ant red,webvid_covr_multimodal
"While exceptionally hilly and circuitous, the road is good enough to handle a stream of tourist buses, and the beach itself is likely to be crowded.","The beach, despite the winding and bumpy road, is still quite popular.",The terrain on the way to the beach is so rough that few bother to travel that way.,nli_base
"I take my orders only from Mr. Brown."" The other threw up his hands in despair.",The other was beyond disgusted.,The other threw up on their hands.,nli_base
Source: Puzzle pieces; Edit instruction: Make the pieces into a connection,Puzzle connection,Puzzle pieces,webvid_covr_multimodal
Source: Drink in a glass; Edit instruction: turn the glass into a champagne glass,Champagne in a glass,Drink in a glass,webvid_covr_multimodal
Source: White swans in the pond; Edit instruction: change the white swans to white geese,White goose in the pond,White swans in the pond,webvid_covr_multimodal
Source: Seagulls on the grass; Edit instruction: make it a dog,Dog on the grass,Seagulls on the grass,webvid_covr_multimodal
Source: Garbage in water; Edit instruction: Show pollution in the water,Pollution in water,Garbage in water,webvid_covr_multimodal
"Source: Bevagna, umbria, italy - circa june 2013: women gather in a medieval festival during a medieval festival le gaite; Edit instruction: make it a dance festival","Bevagna, umbria, italy - circa june 2013: women dance in a medieval festival during a medieval festival le gaite","Bevagna, umbria, italy - circa june 2013: women gather in a medieval festival during a medieval festival le gaite",webvid_covr_multimodal
"Here a group of some fifty men were watching the sky, obviously waiting.","At this place, fifty-odd men were looking at the sky and waiting.","A group of some fifty men were talking and laughing inside the great hall, oblivious to the sky outside.",nli_base
His simple gravestone is decorated daily with a small vase of fresh flowers.,There are fresh flowers at the gravestone every day.,His gravestone has fallen into disrepair.,nli_base
Source: Symbol dumbbell. blue electric glow storm. looped video. alpha channel black; Edit instruction: replace the logo with a clone,Symbol clone. blue electric glow storm. looped video. alpha channel black,Symbol dumbbell. blue electric glow storm. looped video. alpha channel black,webvid_covr_multimodal
"I fell onto my backside, knocked down by sheer momentum.",I got knocked down.,I stayed on my feet.,nli_base
Source: Highland lake; Edit instruction: turn it into a dune lake,Dune lake,Highland lake,webvid_covr_multimodal
Source: Abstract light; Edit instruction: make it like,Abstract ambient,Abstract light,webvid_covr_multimodal
A large van drives down a counry road in the fall.,A van drives on a road.,A truck site idly in a garage.,nli_base
Pigeons watch a man read a book in the middle of a sidewalk.,A man with pigeons.,Pigeons reading about a man with bread.,nli_base
A man with a yellow and green shirt is standing in front of a crowd of people.,A man stands near a crowd of people.,The man is lying down on a couch.,nli_base
"At once.""",Immediately.,Over a long period of time.,nli_base
Source: Summer landscape; Edit instruction: in Galilee,Galilee landscape,Summer landscape,webvid_covr_multimodal
people are skiing down a snow covered hill,People are outside during winter.,A family is swimming.,nli_base
A boy opens a gate on the staircase,A boy opens a gate,A boy closes a gate on the staircase,ego4d_temporal
A man in a black hoodie and blue jeans kneels in the middle of a road.,a man wearing black and blue colour dress is kneeling in the road,A man run in playground.,nli_base
"I wish Susan were here, said Adrin.",Adrin longed for Susan.,Adrin was glad Susan was gone.,nli_base
Source: Children playground; Edit instruction: Put them outside,Children outside,Children playground,webvid_covr_multimodal
"Source: The appearance of the green neon symbol mandolin. flicker, in - out. alpha channel premultiplied - matted with color black; Edit instruction: turn it into a sink","The appearance of the green neon symbol sink. flicker, in - out. alpha channel premultiplied - matted with color black","The appearance of the green neon symbol mandolin. flicker, in - out. alpha channel premultiplied - matted with color black",webvid_covr_multimodal
old man giving autographs away.,a person giving stuff away,a famous actress signs some headshots,nli_base
"A crowd of people on a street corner, three boys with their shirts tucked up.",People are outside,No one is around.,nli_negation
Source: From the glitch effect arises glasses symbol. then the tv turns off. alpha channel premultiplied - matted with color black; Edit instruction: make a medal,From the glitch effect arises medal symbol. then the tv turns off. alpha channel premultiplied - matted with color black,From the glitch effect arises glasses symbol. then the tv turns off. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
it's easy you said the magic word there drugs,"It's not hard, you said drugs was the magic word.",It's hard but the magic word is antelope.,nli_base
"In the U.S. the carrier remains on the road, stops at a roadside mailbox and places mail in it without leaving the vehicle.",U.S. mail carriers deliver the mail from their vehicles.,U.S. Mail carriers always get out of their vehicles when delivering mail.,nli_base
'Just an empty basement.',The basement had nothing in it.,The basement was very cluttered.,nli_base
Source: Street sign the way to referendum; Edit instruction: make a street sign the way to precaution,Street sign the way to precaution,Street sign the way to referendum,webvid_covr_multimodal
"Source: Vietnam country border 3d visualization, modern map outline, travel; Edit instruction: make Peru","Peru country border 3d visualization, modern map outline, travel","Vietnam country border 3d visualization, modern map outline, travel",webvid_covr_multimodal
"Jewelry is important here, whether made with precious or semi-precious stones.",Precious and semi-precious stones can be found in jewelry here.,Only jewelry made with precious stones is important here.,nli_base
Source: Water falls; Edit instruction: change the water to a dam,Water dam,Water falls,webvid_covr_multimodal
A young boy pounding on an anvil.,A boy is pounding.,A child is sleeping.,nli_base
A bridal party surrounding a bride sitting on a couch.,A group surround a bride.,A bride is jumping off a cliff.,nli_base
A woman is reading while stirring with her foot on a ledge.,The woman is reading near a ledge.,The woman is in her bed.,nli_base
A man playing a keyboard and another man playing guitar while signing into a microphone with a dark background and spotlights.,A group of people are holding some musical equipment.,The band is writing some music inside of the studio.,nli_base
Source: Green iguana; Edit instruction: make the green iguana have green scales like a snake,Green morph,Green iguana,webvid_covr_multimodal
Source: Mountain meadows; Edit instruction: Turn the meadows into a spring,Mountain spring,Mountain meadows,webvid_covr_multimodal
A woman is holding a crying baby on the floor of a busy ice rink.,A woman comforting a child.,A family at a pool.,nli_base
Source: Lake board; Edit instruction: make the scene a lake landscape,Lake landscape,Lake board,webvid_covr_multimodal
Source: Writing or sketching a word film; Edit instruction: make it a word rehab,Writing or sketching a word rehab,Writing or sketching a word film,webvid_covr_multimodal
A band plays a concert for excited fans.,the band is playing,the fans are bored,nli_base
A girl opens a lid from a oil bottle,A girl opens a lid on a cooking pot,A girl closes a lid from a oil bottle,ego4d_temporal
Source: Loop moon; Edit instruction: remove the loop,Full moon,Loop moon,webvid_covr_multimodal
Source: Blue sunset; Edit instruction: make it look like a cigarette smoke,Blue smoke,Blue sunset,webvid_covr_multimodal
Someone runs along the beach in the bright sun.,Someone runs in the mid day along the beach.,Someone fell down in bright sun.,nli_base
Source: Beautiful time lapse clouds; Edit instruction: Make the clouds into a mosque,Beautiful time lapse mosque,Beautiful time lapse clouds,webvid_covr_multimodal
Source: Frying eggs; Edit instruction: Frying salmon,Frying salmon,Frying eggs,webvid_covr_multimodal
Two persons embrace outside as a crowd of people mill around.,There is a crowd of people.,The two people are having a fist fight.,nli_base
A woman hails to a ferry in the snow.,A woman hails to something.,A woman hails to a UFO in the bahamas.,nli_base
Two dogs are fighting over a red Frisbee outside.,A couple of animals are being aggressive because of a toy.,The animals are scratching their backs on the grass.,nli_base
A person turns on another light with the switch on the wall,A person turns on the light of the room,A person turns off another light with the switch on the wall,ego4d_temporal
so you know i i like the concept they've got now where they have more directed education you know you you pick a career path or you get counseling earlier and then you you learn the things that help you rather than spending four years learning the same things over and over,I like that they have a more directed education.,I do not like the concept of a directed education.,nli_negation
Source: Aerial view of highway interchange; Edit instruction: change the interchange to a fly,Aerial view of highway flyover,Aerial view of highway interchange,webvid_covr_multimodal
People serving food to an elderly shopper.,An elderly person is being served food,A baby is shopping,nli_base
Communicating With Management and Others,Communication is necessary in the work place.,Management doesn't need to worry about communicating with lower level employees.,nli_negation
Source: Young man eating sushi; Edit instruction: make him eat a cookie,Young man eating cookie,Young man eating sushi,webvid_covr_multimodal
This person is bundled up in warm clothing and jumping over a tire half-buried in snow.,It is cold outside.,It is the middle of summer.,nli_base
Source: Wedding toast; Edit instruction: make it a wedding bed,Wedding bed,Wedding toast,webvid_covr_multimodal
A man in gray shirt sitting near a woman.,A man and woman are sitting together.,A couple is walking down a city street.,nli_base
Source: Definition: probation; Edit instruction: change affidavit to affidavit,Definition: affidavit,Definition: probation,webvid_covr_multimodal
Source: Singapore scanned by software; Edit instruction: Either of the two countries should be Nicaragua,Nicaragua scanned by software,Singapore scanned by software,webvid_covr_multimodal
yeah the press has a lot of power,The media is very powerful.,The media doesn't have any power.,nli_negation
Similar relics have been around since Phoenician times.,There have been similar relics for years.,The relics were just uncovered last year.,nli_base
Source: Sexy waist; Edit instruction: Two people wear the belt,Sexy couple,Sexy waist,webvid_covr_multimodal
"In some cases, the new emphasis on homeland security has prompted attention to longstanding problems that have suddenly become more pressing.",Some issues have been longstanding but not prioritized.,Homeland security has only been addressing new issues.,nli_base
Source: Antenna. looping. alpha channel; Edit instruction: make it into a news feed,News. looping. alpha channel,Antenna. looping. alpha channel,webvid_covr_multimodal
Source: Butterfly and bees; Edit instruction: make the butterfly be a wind,Butterfly and wind,Butterfly and bees,webvid_covr_multimodal
A man with sunglasses resting on his forehead holds out his hand to another passenger on a train.,The man is wearing sunglasses.,the man is a celebrity.,nli_base
A man in a helmet kneels down to adjust a bicycle.,A man is adjusting a bicycle.,A man is fixing a skateboard.,nli_base
A woman folds the bag of pepper,A woman folds a bag,A woman unfolds the bag of pepper,ego4d_temporal
"I believe, Miss Howard, that it was you who found this sheet of brown paper? He held up the same dusty piece which Poirot and I had examined in the morning-room at Styles. ",Poirot and I had examined the dusty piece of paper he held up.,There was no paper found by anyone.,nli_negation
Source: Colorful line; Edit instruction: make it a star,Colorful star,Colorful line,webvid_covr_multimodal
Source: Dollar macro; Edit instruction: make it money with the face of a doll,Dollar signs,Dollar macro,webvid_covr_multimodal
Two men sit in rounded green chairs on bright blue carpet.,People are seated in bright surroundings.,The men are playing poker.,nli_base
Source: Neon flickering green text sir in the haze. alpha channel premultiplied - matted with color black; Edit instruction: make it online,Neon flickering green text online in the haze. alpha channel premultiplied - matted with color black,Neon flickering green text sir in the haze. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
Source: Trees in autumn forest; Edit instruction: with the forest in the background,Trees in the forest,Trees in autumn forest,webvid_covr_multimodal
"Two middle-aged women, dressed in black kimonos with printed designs across the bottom of the kimono's skirt, smiling, while walking in city square.",Two women in kimonos are smiling and walking outdoors.,Two women in black kimonos are walking down a country road.,nli_base
Source: Water streaming; Edit instruction: It has lots of splash,Water splashing,Water streaming,webvid_covr_multimodal
"A man in black standing on a rock with the phrase ""life is short"" spray painted on it.",A man is holding a sign.,A man is sleeping on his bed.,nli_base
Source: Natural flower; Edit instruction: make it beautiful,Beautiful flower,Natural flower,webvid_covr_multimodal
Two blonds are passing out fliers and balloons on a busy walkway.,People are giving out balloons and information.,A man drives the Batmobile.,nli_base
i got rid of a lot of them especially the ones where i paid fees,"I got rid of many of them, including the ones that charged me fees.",I kept the  ones with fees unfortunately.,nli_base
"In the midst of a crowd of people, a woman in a black t-shirt has her arm around a man in a brown hat.","Twp people, one with her arm around another wearing a brown hat, are in the middle of a crowd.",A woman rides a horse with her best friend.,nli_base
Source: Kids drawing white screen with theme of libra; Edit instruction: make the screen a can of insecticide,Kids drawing white screen with theme of insecticide,Kids drawing white screen with theme of libra,webvid_covr_multimodal
"Ha! said Sir William, eyeing her.","Sir William eyed her and said ""Ha!"".","Sir William studiously ignored her, pretending she wasn't even in the room.",nli_negation
A boy with glasses on is sitting in a chair at the dentist.,a boy is sitting on the chair at the dentist,A boy is playing with some other childrens,nli_base
Source: Beautiful hawaiian waterfall; Edit instruction: make it a spring,Beautiful spring waterfall,Beautiful hawaiian waterfall,webvid_covr_multimodal
Source: Adobe ruins; Edit instruction: make it look like Glastonbury,Glastonbury ruins,Adobe ruins,webvid_covr_multimodal
Source: Jude written with fire. loop; Edit instruction: have Gibraltar written with fire,Gibraltar written with fire. loop,Jude written with fire. loop,webvid_covr_multimodal
Source: California beach; Edit instruction: make it look like paradise,Paradise beach,California beach,webvid_covr_multimodal
A boy connects a charger to the desktop computer,A boy is connecting charger,A boy disconnects a charger from the desktop computer,ego4d_temporal
Source: Black hole; Edit instruction: turn the black hole into a black bear,black bear,Black hole,webvid_covr_multimodal
Source: Insects in the forest; Edit instruction: make it early morning,Dawn in the forest,Insects in the forest,webvid_covr_multimodal
Source: Wild boar piglets; Edit instruction: swap for a waste,Wild boar waste,Wild boar piglets,webvid_covr_multimodal
a young child swinging on a green swing.,A child is swinging outside.,A young child brushes her teeth in the bathroom.,nli_base
Two kids jumping into the river.,the kids are wet,the kids are fishing,nli_base
"Just as you like, replied Tommy.",Tommy spoke back.,Tommy said nothing.,nli_negation
Source: The index of diesel on the screen. down. looping; Edit instruction: swap diesel for metals,The index of metals on the screen. down. looping,The index of diesel on the screen. down. looping,webvid_covr_multimodal
Source: Circles gather in symbol border. after it crumbles in a line and moves to the camera. alpha channel black; Edit instruction: make it a baby,Circles gather in symbol baby. after it crumbles in a line and moves to the camera. alpha channel black,Circles gather in symbol border. after it crumbles in a line and moves to the camera. alpha channel black,webvid_covr_multimodal
U.S. servicemen in the presence of locals cutting the ribbon to the grand opening of a new building on base.,Military personnel look on as a structure is consecrated in a traditional ceremony.,"The shack where the boy lived, was made of corrugated tin, and cardboard boxes.",nli_base
A middle-aged man is sitting down and playing the accordion.,A man makes music.,A dove in the air.,nli_base
"Female fire handler, with long hair, performing in front of a crowd.",There is a woman doing tricks with fire for a large crowd.,The woman walks down the path.,nli_base
It is a city to which people migrate from all over Spain in search of new opportunities; a place where few people can claim any deep roots.,The number of people with ancestors in the region is small due to massive migration.,"There are no new inhabitants in the region, people tending to stay in the same place.",nli_negation
Source: Park trail; Edit instruction: remove the path,Park forest,Park trail,webvid_covr_multimodal
People are playing bowling.,Bowlers are bowling.,A child plays with a watergun.,nli_base
Source: Water tap; Edit instruction: Make the tap a water fountain,Water flow,Water tap,webvid_covr_multimodal
A crowd of people try to make contact with the individual above them.,A crowd of people trying to communicate with someone above them.,A crowd of people trying to communicate with a bunch of other people above them.,nli_base
"Celtic tribes ' probably from eastern Europe ' came looking for greener pastures in the areas that are now Franche-Comt??, Alsace, and Bur?­gundy.",Celtic tribes went there looking for a better place.,German tribes showed up.,nli_base
"The gray dog sits quietly, dressed in a blue track jacket.",A dog is wearing clothes.,A cat jumps in the air.,nli_base
Source: Mountain waterfall; Edit instruction: turn it into a relaxing mountain waterfall,Relaxing waterfall,Mountain waterfall,webvid_covr_multimodal
Source: Writing or sketching a word brand; Edit instruction: have a plan before sketching,Writing or sketching a word plan,Writing or sketching a word brand,webvid_covr_multimodal
"An initial analysis, to be prepared for a proposed rule, is to describe the impact of the proposed rule on such hospitals and include the matters required under 5 U.S.C.",An initial analysis  is supposed to describe the impact of the proposed rule on the hospitals.,An initial analysis  is supposed to describe the impact of the proposed rule on the environment.,nli_base
Source: Dawn on the sea; Edit instruction: Make it a wave,Wave on the sea,Dawn on the sea,webvid_covr_multimodal
A male and a female are carrying musical equipment.,A man and a woman are each holding something.,A man and woman are washing dishes in the house.,nli_base
Source: Stars time lapse; Edit instruction: Turn into a beach,Beach time lapse,Stars time lapse,webvid_covr_multimodal
Source: Blue sparkles; Edit instruction: turn the sparkles into a wave,Blue wave,Blue sparkles,webvid_covr_multimodal
"There are also souvenir stands, benches for a rest, and perhaps Hong Kong's last surviving rickshaws however these are not for rides, but are a tourist photo opportunity.",The rickshaws are not for transportation at all.,The rickshaws are available for transportation needs.,nli_base
Source: Circles gather in symbol presentation. after it crumbles in a line and moves to the camera. alpha channel black; Edit instruction: make it bone,Circles gather in symbol bone. after it crumbles in a line and moves to the camera. alpha channel black,Circles gather in symbol presentation. after it crumbles in a line and moves to the camera. alpha channel black,webvid_covr_multimodal
Source: Two birds; Edit instruction: make them giant,Sea birds,Two birds,webvid_covr_multimodal
Source: water stream; Edit instruction: show it during winter,Winter stream,water stream,webvid_covr_multimodal
One little boy working hard in his martial arts class.,Someone is training.,There is no class in session.,nli_negation
Source: Red cloud sunrise; Edit instruction: make it a cloudy sunrise,Red cloudy sunrise,Red cloud sunrise,webvid_covr_multimodal
Source: Camera. looping; Edit instruction: make it a girl,Female. looping,Camera. looping,webvid_covr_multimodal
A woman is waiting alone outside while a bird walks behind her.,There is a woman alone outside.,someone is in a store.,nli_base
Source: Sunset on sea; Edit instruction: Make it a painted,Sunset sky sea,Sunset on sea,webvid_covr_multimodal
A man inserts the cable to the socket,A man is inserting cable in the holes,A man removes the cable from the socket,ego4d_temporal
Source: Aerial view of seattle; Edit instruction: make the city,Aerial view of city,Aerial view of seattle,webvid_covr_multimodal
An indian woman in a green sari is crocheting.,The woman is making something.,The woman is wearing a blue sari.,nli_base
